Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,22.0,25.0,6.985,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,7.62,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,8.255,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,8.89,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,9.525,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,10.16,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,10.795,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,11.43,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,12.065,0.7,15.4,17.4565,12.2034,0.159,0.1899,19.2662
0,22.0,25.0,6.985,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,7.62,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,8.255,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,8.89,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,9.525,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,10.16,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,10.795,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,11.43,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,12.065,0.8,17.6,17.4672,12.1468,0.1583,0.1676,16.9321
0,22.0,25.0,6.985,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,22.0,25.0,7.62,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,22.0,25.0,8.255,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,22.0,25.0,8.89,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,22.0,25.0,9.525,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,22.0,25.0,10.16,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
