Q_hot (L/min),D_in_cold (mm),D_out_cold (mm),V_vaso (mL),Tiempo de Enfriamiento (min)
20.0,42.6,50.0,800.0,190.3
20.0,53.6,63.0,800.0,210.3
20.0,63.8,75.0,800.0,221.93
20.0,76.6,90.0,800.0,233.73
20.0,93.6,110.0,800.0,248.73
20.0,106.4,125.0,800.0,350.94
20.0,119.2,140.0,800.0,373.75
20.0,8.0,10.0,900.0,22.86
20.0,10.0,12.0,900.0,44.83
20.0,13.6,16.0,900.0,78.45
20.0,17.0,20.0,900.0,101.94
20.0,22.0,25.0,900.0,128.79
20.0,27.2,32.0,900.0,153.47
20.0,34.0,40.0,900.0,183.85
20.0,42.6,50.0,900.0,214.09
20.0,53.6,63.0,900.0,236.58
20.0,63.8,75.0,900.0,249.67
20.0,76.6,90.0,900.0,262.95
20.0,93.6,110.0,900.0,279.83
20.0,106.4,125.0,900.0,394.81
20.0,119.2,140.0,900.0,420.46
20.0,8.0,10.0,1000.0,25.4
20.0,10.0,12.0,1000.0,49.81
20.0,13.6,16.0,1000.0,87.17
20.0,17.0,20.0,1000.0,113.27
20.0,22.0,25.0,1000.0,143.1
20.0,27.2,32.0,1000.0,170.52
20.0,34.0,40.0,1000.0,204.27
20.0,42.6,50.0,1000.0,237.88
20.0,53.6,63.0,1000.0,262.87
20.0,63.8,75.0,1000.0,277.41
20.0,76.6,90.0,1000.0,292.17
20.0,93.6,110.0,1000.0,310.92
20.0,106.4,125.0,1000.0,438.68
20.0,119.2,140.0,1000.0,467.18
