D_in_cold,D_out_cold,N_aletas,D_aleta,T_out_hot,UA_total,Efectividad
0.008,0.01,18,0.008889999999999999,18.048067476548056,9.143228392398504,0.12199578271574654
0.008,0.01,18,0.009524999999999999,18.02194134031936,9.275268680251548,0.12362866623004189
0.008,0.01,18,0.01016,17.994518287108917,9.414164407037727,0.12534260705569236
0.008,0.01,18,0.010794999999999999,17.96586649485255,9.559614105835596,0.12713334407171678
0.008,0.01,18,0.01143,17.93605802535069,9.711295595656877,0.12899637341558354
0.008,0.01,18,0.012065,17.905168377872315,9.868867683045965,0.13092697638298012
0.008,0.01,19,0.006985,18.116806442294944,8.79715306115733,0.11769959735656467
0.008,0.01,19,0.007620000000000001,18.093732277840786,8.91310908612395,0.11914173263495259
0.008,0.01,19,0.008255,18.06911117769789,9.037077147508716,0.12068055139388052
0.008,0.01,19,0.008889999999999999,18.04300204848124,9.168807025243018,0.12231237196992185
0.008,0.01,19,0.009524999999999999,18.015469017850478,9.30802268550839,0.12403318638434642
0.008,0.01,19,0.01016,17.9865810952993,9.45442337013192,0.1258386815437929
0.008,0.01,19,0.010794999999999999,17.956411774703724,9.607684971027057,0.12772426408101692
0.008,0.01,19,0.01143,17.92503858559695,9.767461666934455,0.12968508840018905
0.008,0.01,19,0.012065,17.892542600816796,9.933387796355754,0.13171608744894944
0.008,0.01,20,0.006985,18.11556431100263,8.803389733589421,0.11777723056233434
0.008,0.01,20,0.007620000000000001,18.09128813407682,8.925404426763517,0.11929449162019987
0.008,0.01,20,0.008255,18.06539340590234,9.055817669766773,0.12091291213110333
0.008,0.01,20,0.008889999999999999,18.037943789212477,9.194359917699668,0.12262851317421973
0.008,0.01,20,0.009524999999999999,18.009008442127424,9.340734379374236,0.12443697236703573
0.008,0.01,20,0.01016,17.97866163719408,9.494618244690075,0.12633364767537056
0.008,0.01,20,0.010794999999999999,17.9469823192199,9.655664213646682,0.12831360504875583
0.008,0.01,20,0.01143,17.914053609735163,9.82350230148723,0.13037164939155213
0.008,0.01,20,0.012065,17.87996226661636,9.997741890902113,0.13250235833647725
0.008,0.01,21,0.006985,18.11432260669909,8.80962488553028,0.11785483708130817
0.008,0.01,21,0.007620000000000001,18.08884564884022,8.937693845066963,0.11944714694748476
0.008,0.01,21,0.008255,18.061679484637295,9.074544401645996,0.12114503221016945
0.008,0.01,21,0.008889999999999999,18.03289268377881,9.21988710860366,0.12294420726382535
0.008,0.01,21,0.009524999999999999,18.002559581711864,9.373403843782485,0.12484002614300792
0.008,0.01,21,0.01016,17.970759854373625,9.534749183624994,0.12682750910164797
0.008,0.01,21,0.010794999999999999,17.93757802887353,9.703552095392583,0.1289013731954045
0.008,0.01,21,0.01143,17.9031029388849,9.879417919056715,0.1310560663196954
0.008,0.01,21,0.012065,17.86742713422035,10.061930606643948,0.13328580411122765
